[18:48:50.811162] [WARNING] [pdc_server_data.c:122] PDC_SERVER[0]: Total Lustre OSTs, PDC Servers: 256, 8
[18:48:50.811208] [WARNING] [pdc_server_data.c:123] PDC_SERVER[0]: Setting Lustre stripe count to 32 and size to 16 MB
[18:55:33.756785] [WARNING] [pdc_server.c:1184] PDC_SERVER[0]: Checkpoint start
[18:55:33.782263] [WARNING] [pdc_server.c:1376] PDC_SERVER[0]: Writing checkpoint transformations start
[18:55:33.783226] [WARNING] [pdc_server.c:1558] PDC_SERVER[0]: Writing checkpoint transformations done
[18:55:48.132053] [WARNING] [pdc_server.c:1595] PDC_SERVER[0]: Rank[ALL]: Total checkpoint time = 14.375255
[18:55:48.133917] [WARNING] [pdc_server.c:1602] PDC_SERVER[0]: Checkpointing done
[18:55:48.133981] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=0, name=open, avg=0.000533, total=0.511977, count=960
[18:55:48.133993] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=1, name=close, avg=0.000176, total=0.168515, count=960
[18:55:48.133998] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=3, name=write, avg=0.037894, total=36.377919, count=960
[18:55:48.134003] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=4, name=total_graph_exec, avg=0.432291, total=414.999240, count=960
[18:55:48.134760] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=0, name=open, avg=0.000501, total=0.481194, count=960
[18:55:48.134805] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=1, name=close, avg=0.000193, total=0.185189, count=960
[18:55:48.134811] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=3, name=write, avg=0.037896, total=36.379972, count=960
[18:55:48.134816] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=4, name=total_graph_exec, avg=0.431448, total=414.189660, count=960
[18:55:48.134777] [WARNING] [pdc_server.c:696] PDC_SERVER[7]: [TIMER] id=0, name=open, avg=0.000471, total=0.451722, count=960
[18:55:48.134840] [WARNING] [pdc_server.c:696] PDC_SERVER[7]: [TIMER] id=1, name=close, avg=0.000197, total=0.188779, count=960
[18:55:48.134847] [WARNING] [pdc_server.c:696] PDC_SERVER[7]: [TIMER] id=3, name=write, avg=0.037437, total=35.939757, count=960
[18:55:48.134853] [WARNING] [pdc_server.c:696] PDC_SERVER[7]: [TIMER] id=4, name=total_graph_exec, avg=0.430619, total=413.394104, count=960
[18:55:48.134874] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=0, name=open, avg=0.000469, total=0.450587, count=960
[18:55:48.134935] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=1, name=close, avg=0.000205, total=0.196773, count=960
[18:55:48.134941] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=3, name=write, avg=0.037586, total=36.082116, count=960
[18:55:48.134947] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=4, name=total_graph_exec, avg=0.431812, total=414.539986, count=960
[18:55:48.134857] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=0, name=open, avg=0.000500, total=0.480439, count=960
[18:55:48.134905] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=1, name=close, avg=0.000189, total=0.181439, count=960
[18:55:48.134912] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=3, name=write, avg=0.038138, total=36.612566, count=960
[18:55:48.134918] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=4, name=total_graph_exec, avg=0.431270, total=414.019399, count=960
[18:55:48.135035] [WARNING] [pdc_server.c:696] PDC_SERVER[6]: [TIMER] id=0, name=open, avg=0.000489, total=0.469203, count=960
[18:55:48.135093] [WARNING] [pdc_server.c:696] PDC_SERVER[6]: [TIMER] id=1, name=close, avg=0.000181, total=0.173765, count=960
[18:55:48.135100] [WARNING] [pdc_server.c:696] PDC_SERVER[6]: [TIMER] id=3, name=write, avg=0.037906, total=36.389716, count=960
[18:55:48.135105] [WARNING] [pdc_server.c:696] PDC_SERVER[6]: [TIMER] id=4, name=total_graph_exec, avg=0.431839, total=414.565241, count=960
[18:55:48.134777] [WARNING] [pdc_server.c:696] PDC_SERVER[5]: [TIMER] id=0, name=open, avg=0.000502, total=0.481598, count=960
[18:55:48.136474] [WARNING] [pdc_server.c:696] PDC_SERVER[5]: [TIMER] id=1, name=close, avg=0.000194, total=0.186576, count=960
[18:55:48.136482] [WARNING] [pdc_server.c:696] PDC_SERVER[5]: [TIMER] id=3, name=write, avg=0.037392, total=35.895862, count=960
[18:55:48.136487] [WARNING] [pdc_server.c:696] PDC_SERVER[5]: [TIMER] id=4, name=total_graph_exec, avg=0.432400, total=415.103726, count=960
[18:55:48.136899] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=0, name=open, avg=0.000565, total=0.542538, count=960
[18:55:48.136987] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=1, name=close, avg=0.000221, total=0.212484, count=960
[18:55:48.136994] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=3, name=write, avg=0.037627, total=36.121988, count=960
[18:55:48.137000] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=4, name=total_graph_exec, avg=0.433741, total=416.391244, count=960
