[13:13:52.803794] [WARNING] [pdc_server_data.c:122] PDC_SERVER[0]: Total Lustre OSTs, PDC Servers: 256, 16
[13:13:52.803842] [WARNING] [pdc_server_data.c:123] PDC_SERVER[0]: Setting Lustre stripe count to 16 and size to 16 MB
[13:18:49.704179] [WARNING] [pdc_server.c:1184] PDC_SERVER[0]: Checkpoint start
[13:18:49.730996] [WARNING] [pdc_server.c:1376] PDC_SERVER[0]: Writing checkpoint transformations start
[13:18:49.732136] [WARNING] [pdc_server.c:1558] PDC_SERVER[0]: Writing checkpoint transformations done
[13:18:52.774319] [WARNING] [pdc_server.c:1595] PDC_SERVER[0]: Rank[ALL]: Total checkpoint time = 3.070108
[13:18:52.776300] [WARNING] [pdc_server.c:1602] PDC_SERVER[0]: Checkpointing done
[13:18:52.776399] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=0, name=open, avg=0.000509, total=0.488256, count=960
[13:18:52.776411] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=1, name=close, avg=0.000236, total=0.226377, count=960
[13:18:52.776417] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=3, name=write, avg=0.034813, total=33.420647, count=960
[13:18:52.776421] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=4, name=total_graph_exec, avg=0.350303, total=336.291176, count=960
[13:18:52.776655] [WARNING] [pdc_server.c:696] PDC_SERVER[10]: [TIMER] id=0, name=open, avg=0.000507, total=0.486790, count=960
[13:18:52.776818] [WARNING] [pdc_server.c:696] PDC_SERVER[10]: [TIMER] id=1, name=close, avg=0.000239, total=0.229624, count=960
[13:18:52.776834] [WARNING] [pdc_server.c:696] PDC_SERVER[10]: [TIMER] id=3, name=write, avg=0.034851, total=33.456649, count=960
[13:18:52.776839] [WARNING] [pdc_server.c:696] PDC_SERVER[10]: [TIMER] id=4, name=total_graph_exec, avg=0.354723, total=340.534043, count=960
[13:18:52.777735] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=0, name=open, avg=0.000443, total=0.425685, count=960
[13:18:52.777869] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=1, name=close, avg=0.000196, total=0.187973, count=960
[13:18:52.777878] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=3, name=write, avg=0.034866, total=33.471615, count=960
[13:18:52.777883] [WARNING] [pdc_server.c:696] PDC_SERVER[4]: [TIMER] id=4, name=total_graph_exec, avg=0.349145, total=335.179011, count=960
[13:18:52.777148] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=0, name=open, avg=0.000412, total=0.395678, count=960
[13:18:52.777241] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=1, name=close, avg=0.000220, total=0.211464, count=960
[13:18:52.777248] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=3, name=write, avg=0.034831, total=33.437705, count=960
[13:18:52.777253] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=4, name=total_graph_exec, avg=0.350017, total=336.015981, count=960
[13:18:52.777193] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=0, name=open, avg=0.000465, total=0.446454, count=960
[13:18:52.777249] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=1, name=close, avg=0.000197, total=0.188904, count=960
[13:18:52.777270] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=3, name=write, avg=0.034541, total=33.159481, count=960
[13:18:52.777276] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=4, name=total_graph_exec, avg=0.349221, total=335.252391, count=960
[13:18:52.777243] [WARNING] [pdc_server.c:696] PDC_SERVER[8]: [TIMER] id=0, name=open, avg=0.000436, total=0.418636, count=960
[13:18:52.777331] [WARNING] [pdc_server.c:696] PDC_SERVER[8]: [TIMER] id=1, name=close, avg=0.000220, total=0.211627, count=960
[13:18:52.777337] [WARNING] [pdc_server.c:696] PDC_SERVER[8]: [TIMER] id=3, name=write, avg=0.034807, total=33.414534, count=960
