[11:08:11.904264] [WARNING] [pdc_server.c:1641] PDC_SERVER[0]: Restart from checkpoint start
[11:08:11.905940] [WARNING] [pdc_server.c:1914] PDC_SERVER[0]: Reading checkpoint transformations start
[11:08:11.908302] [WARNING] [pdc_server.c:2040] PDC_SERVER[0]: Reading checkpoint transformations done
[11:08:11.919983] [WARNING] [pdc_server.c:2064] PDC_SERVER[0]: Restart from checkpoint done
[11:08:27.936501] [WARNING] [pdc_server_data.c:122] PDC_SERVER[0]: Total Lustre OSTs, PDC Servers: 256, 128
[11:08:27.936513] [WARNING] [pdc_server_data.c:123] PDC_SERVER[0]: Setting Lustre stripe count to 2 and size to 16 MB
[11:12:44.285897] [WARNING] [pdc_server.c:1184] PDC_SERVER[0]: Checkpoint start
[11:12:44.309718] [WARNING] [pdc_server.c:1376] PDC_SERVER[0]: Writing checkpoint transformations start
[11:12:44.310610] [WARNING] [pdc_server.c:1558] PDC_SERVER[0]: Writing checkpoint transformations done
[11:12:44.331276] [WARNING] [pdc_server.c:1595] PDC_SERVER[0]: Rank[ALL]: Total checkpoint time = 0.045354
[11:12:44.332334] [WARNING] [pdc_server.c:1602] PDC_SERVER[0]: Checkpointing done
[11:12:44.332390] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=0, name=open, avg=0.000293, total=0.281338, count=960
[11:12:44.332401] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=1, name=close, avg=0.000209, total=0.200206, count=960
[11:12:44.332406] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=2, name=read, avg=0.020479, total=19.659361, count=960
[11:12:44.332411] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=4, name=total_graph_exec, avg=0.012705, total=12.197260, count=960
[11:12:44.332357] [WARNING] [pdc_server.c:696] PDC_SERVER[28]: [TIMER] id=0, name=open, avg=0.000315, total=0.302569, count=960
[11:12:44.332429] [WARNING] [pdc_server.c:696] PDC_SERVER[28]: [TIMER] id=1, name=close, avg=0.000243, total=0.233605, count=960
[11:12:44.332435] [WARNING] [pdc_server.c:696] PDC_SERVER[28]: [TIMER] id=2, name=read, avg=0.037105, total=35.620654, count=960
[11:12:44.332440] [WARNING] [pdc_server.c:696] PDC_SERVER[28]: [TIMER] id=4, name=total_graph_exec, avg=0.014198, total=13.630422, count=960
[11:12:44.332402] [WARNING] [pdc_server.c:696] PDC_SERVER[24]: [TIMER] id=0, name=open, avg=0.000273, total=0.261779, count=960
[11:12:44.332475] [WARNING] [pdc_server.c:696] PDC_SERVER[24]: [TIMER] id=1, name=close, avg=0.000185, total=0.177728, count=960
[11:12:44.332481] [WARNING] [pdc_server.c:696] PDC_SERVER[24]: [TIMER] id=2, name=read, avg=0.036618, total=35.153524, count=960
[11:12:44.332486] [WARNING] [pdc_server.c:696] PDC_SERVER[24]: [TIMER] id=4, name=total_graph_exec, avg=0.015461, total=14.842132, count=960
[11:12:44.332416] [WARNING] [pdc_server.c:696] PDC_SERVER[27]: [TIMER] id=0, name=open, avg=0.000363, total=0.348113, count=960
[11:12:44.332494] [WARNING] [pdc_server.c:696] PDC_SERVER[27]: [TIMER] id=1, name=close, avg=0.000202, total=0.194178, count=960
[11:12:44.332500] [WARNING] [pdc_server.c:696] PDC_SERVER[27]: [TIMER] id=2, name=read, avg=0.036460, total=35.001891, count=960
[11:12:44.332506] [WARNING] [pdc_server.c:696] PDC_SERVER[27]: [TIMER] id=4, name=total_graph_exec, avg=0.014155, total=13.588629, count=960
[11:12:44.332411] [WARNING] [pdc_server.c:696] PDC_SERVER[45]: [TIMER] id=0, name=open, avg=0.000338, total=0.324011, count=960
[11:12:44.332486] [WARNING] [pdc_server.c:696] PDC_SERVER[45]: [TIMER] id=1, name=close, avg=0.000194, total=0.185972, count=960
[11:12:44.332491] [WARNING] [pdc_server.c:696] PDC_SERVER[45]: [TIMER] id=2, name=read, avg=0.039322, total=37.749178, count=960
[11:12:44.332496] [WARNING] [pdc_server.c:696] PDC_SERVER[45]: [TIMER] id=4, name=total_graph_exec, avg=0.014332, total=13.759020, count=960
[11:12:44.332388] [WARNING] [pdc_server.c:696] PDC_SERVER[32]: [TIMER] id=0, name=open, avg=0.000293, total=0.281026, count=960
[11:12:44.332451] [WARNING] [pdc_server.c:696] PDC_SERVER[32]: [TIMER] id=1, name=close, avg=0.000219, total=0.210214, count=960
[11:12:44.332463] [WARNING] [pdc_server.c:696] PDC_SERVER[32]: [TIMER] id=2, name=read, avg=0.036296, total=34.844395, count=960
[11:12:44.332468] [WARNING] [pdc_server.c:696] PDC_SERVER[32]: [TIMER] id=4, name=total_graph_exec, avg=0.015288, total=14.676496, count=960
[11:12:44.332418] [WARNING] [pdc_server.c:696] PDC_SERVER[44]: [TIMER] id=0, name=open, avg=0.000293, total=0.281506, count=960
[11:12:44.332503] [WARNING] [pdc_server.c:696] PDC_SERVER[44]: [TIMER] id=1, name=close, avg=0.000194, total=0.186203, count=960
[11:12:44.332509] [WARNING] [pdc_server.c:696] PDC_SERVER[44]: [TIMER] id=2, name=read, avg=0.039057, total=37.494916, count=960
[11:12:44.332371] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=0, name=open, avg=0.000347, total=0.333498, count=960
[11:12:44.332453] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=1, name=close, avg=0.000199, total=0.190597, count=960
[11:12:44.332459] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=2, name=read, avg=0.039766, total=38.175329, count=960
[11:12:44.332464] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=4, name=total_graph_exec, avg=0.014958, total=14.359252, count=960
[11:12:44.332438] [WARNING] [pdc_server.c:696] PDC_SERVER[9]: [TIMER] id=0, name=open, avg=0.000244, total=0.234156, count=960
[11:12:44.332495] [WARNING] [pdc_server.c:696] PDC_SERVER[9]: [TIMER] id=1, name=close, avg=0.000189, total=0.181484, count=960
[11:12:44.332508] [WARNING] [pdc_server.c:696] PDC_SERVER[9]: [TIMER] id=2, name=read, avg=0.020792, total=19.960714, count=960
[11:12:44.332514] [WARNING] [pdc_server.c:696] PDC_SERVER[9]: [TIMER] id=4, name=total_graph_exec, avg=0.012690, total=12.182445, count=960
[11:12:44.332380] [WARNING] [pdc_server.c:696] PDC_SERVER[111]: [TIMER] id=0, name=open, avg=0.000336, total=0.322803, count=960
[11:12:44.332434] [WARNING] [pdc_server.c:696] PDC_SERVER[111]: [TIMER] id=1, name=close, avg=0.000204, total=0.196190, count=960
[11:12:44.332446] [WARNING] [pdc_server.c:696] PDC_SERVER[111]: [TIMER] id=2, name=read, avg=0.036410, total=34.953591, count=960
[11:12:44.332451] [WARNING] [pdc_server.c:696] PDC_SERVER[111]: [TIMER] id=4, name=total_graph_exec, avg=0.015184, total=14.576877, count=960
[11:12:44.332432] [WARNING] [pdc_server.c:696] PDC_SERVER[114]: [TIMER] id=0, name=open, avg=0.000296, total=0.284122, count=960
[11:12:44.332508] [WARNING] [pdc_server.c:696] PDC_SERVER[114]: [TIMER] id=1, name=close, avg=0.000180, total=0.173279, count=960
[11:12:44.332514] [WARNING] [pdc_server.c:696] PDC_SERVER[114]: [TIMER] id=2, name=read, avg=0.036526, total=35.065175, count=960
[11:12:44.332519] [WARNING] [pdc_server.c:696] PDC_SERVER[114]: [TIMER] id=4, name=total_graph_exec, avg=0.015161, total=14.554939, count=960
[11:12:44.332405] [WARNING] [pdc_server.c:696] PDC_SERVER[120]: [TIMER] id=0, name=open, avg=0.000333, total=0.319228, count=960
[11:12:44.332468] [WARNING] [pdc_server.c:696] PDC_SERVER[120]: [TIMER] id=1, name=close, avg=0.000208, total=0.199550, count=960
[11:12:44.332473] [WARNING] [pdc_server.c:696] PDC_SERVER[120]: [TIMER] id=2, name=read, avg=0.036700, total=35.232059, count=960
[11:12:44.332478] [WARNING] [pdc_server.c:696] PDC_SERVER[120]: [TIMER] id=4, name=total_graph_exec, avg=0.015285, total=14.673620, count=960
[11:12:44.332410] [WARNING] [pdc_server.c:696] PDC_SERVER[112]: [TIMER] id=0, name=open, avg=0.000355, total=0.340702, count=960
[11:12:44.332475] [WARNING] [pdc_server.c:696] PDC_SERVER[112]: [TIMER] id=1, name=close, avg=0.000196, total=0.188041, count=960
[11:12:44.332480] [WARNING] [pdc_server.c:696] PDC_SERVER[112]: [TIMER] id=2, name=read, avg=0.036714, total=35.244969, count=960
[11:12:44.332485] [WARNING] [pdc_server.c:696] PDC_SERVER[112]: [TIMER] id=4, name=total_graph_exec, avg=0.015640, total=15.014252, count=960
[11:12:44.332413] [WARNING] [pdc_server.c:696] PDC_SERVER[70]: [TIMER] id=0, name=open, avg=0.000301, total=0.289163, count=960
[11:12:44.332469] [WARNING] [pdc_server.c:696] PDC_SERVER[70]: [TIMER] id=1, name=close, avg=0.000218, total=0.209257, count=960
[11:12:44.332482] [WARNING] [pdc_server.c:696] PDC_SERVER[70]: [TIMER] id=2, name=read, avg=0.033512, total=32.171068, count=960
[11:12:44.332487] [WARNING] [pdc_server.c:696] PDC_SERVER[70]: [TIMER] id=4, name=total_graph_exec, avg=0.014025, total=13.463610, count=960
[11:12:44.332364] [WARNING] [pdc_server.c:696] PDC_SERVER[76]: [TIMER] id=0, name=open, avg=0.000289, total=0.277532, count=960
[11:12:44.332442] [WARNING] [pdc_server.c:696] PDC_SERVER[76]: [TIMER] id=1, name=close, avg=0.000195, total=0.187623, count=960
