[11:04:20.718270] [WARNING] [pdc_server_data.c:122] PDC_SERVER[0]: Total Lustre OSTs, PDC Servers: 256, 128
[11:04:20.718303] [WARNING] [pdc_server_data.c:123] PDC_SERVER[0]: Setting Lustre stripe count to 2 and size to 16 MB
[11:07:30.695268] [WARNING] [pdc_server.c:1184] PDC_SERVER[0]: Checkpoint start
[11:07:30.721245] [WARNING] [pdc_server.c:1376] PDC_SERVER[0]: Writing checkpoint transformations start
[11:07:30.722337] [WARNING] [pdc_server.c:1558] PDC_SERVER[0]: Writing checkpoint transformations done
[11:08:03.324465] [WARNING] [pdc_server.c:1595] PDC_SERVER[0]: Rank[ALL]: Total checkpoint time = 32.629173
[11:08:03.326406] [WARNING] [pdc_server.c:1602] PDC_SERVER[0]: Checkpointing done
[11:08:03.333353] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=0, name=open, avg=0.000365, total=0.350166, count=960
[11:08:03.333366] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=1, name=close, avg=0.000270, total=0.259592, count=960
[11:08:03.333371] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=3, name=write, avg=0.039607, total=38.023027, count=960
[11:08:03.333376] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=4, name=total_graph_exec, avg=0.022146, total=21.260343, count=960
[11:08:03.333330] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=0, name=open, avg=0.000333, total=0.319878, count=960
[11:08:03.333392] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=1, name=close, avg=0.000286, total=0.274900, count=960
[11:08:03.333412] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=3, name=write, avg=0.039661, total=38.074118, count=960
[11:08:03.333418] [WARNING] [pdc_server.c:696] PDC_SERVER[12]: [TIMER] id=4, name=total_graph_exec, avg=0.023012, total=22.091931, count=960
[11:08:03.333382] [WARNING] [pdc_server.c:696] PDC_SERVER[49]: [TIMER] id=0, name=open, avg=0.000355, total=0.340578, count=960
[11:08:03.333449] [WARNING] [pdc_server.c:696] PDC_SERVER[49]: [TIMER] id=1, name=close, avg=0.000251, total=0.241266, count=960
[11:08:03.333454] [WARNING] [pdc_server.c:696] PDC_SERVER[49]: [TIMER] id=3, name=write, avg=0.039618, total=38.033218, count=960
[11:08:03.333459] [WARNING] [pdc_server.c:696] PDC_SERVER[49]: [TIMER] id=4, name=total_graph_exec, avg=0.021676, total=20.809178, count=960
[11:08:03.333414] [WARNING] [pdc_server.c:696] PDC_SERVER[102]: [TIMER] id=0, name=open, avg=0.000364, total=0.349656, count=960
[11:08:03.333462] [WARNING] [pdc_server.c:696] PDC_SERVER[102]: [TIMER] id=1, name=close, avg=0.000241, total=0.230906, count=960
[11:08:03.333482] [WARNING] [pdc_server.c:696] PDC_SERVER[102]: [TIMER] id=3, name=write, avg=0.039831, total=38.237999, count=960
[11:08:03.333488] [WARNING] [pdc_server.c:696] PDC_SERVER[102]: [TIMER] id=4, name=total_graph_exec, avg=0.021161, total=20.314966, count=960
[11:08:03.333308] [WARNING] [pdc_server.c:696] PDC_SERVER[40]: [TIMER] id=0, name=open, avg=0.000362, total=0.347167, count=960
[11:08:03.333406] [WARNING] [pdc_server.c:696] PDC_SERVER[40]: [TIMER] id=1, name=close, avg=0.000233, total=0.223318, count=960
[11:08:03.333412] [WARNING] [pdc_server.c:696] PDC_SERVER[40]: [TIMER] id=3, name=write, avg=0.039871, total=38.276459, count=960
[11:08:03.333416] [WARNING] [pdc_server.c:696] PDC_SERVER[40]: [TIMER] id=4, name=total_graph_exec, avg=0.021692, total=20.824621, count=960
[11:08:03.333236] [WARNING] [pdc_server.c:696] PDC_SERVER[82]: [TIMER] id=0, name=open, avg=0.000388, total=0.372669, count=960
[11:08:03.333280] [WARNING] [pdc_server.c:696] PDC_SERVER[82]: [TIMER] id=1, name=close, avg=0.000332, total=0.318692, count=960
[11:08:03.333297] [WARNING] [pdc_server.c:696] PDC_SERVER[82]: [TIMER] id=3, name=write, avg=0.040071, total=38.467969, count=960
[11:08:03.333302] [WARNING] [pdc_server.c:696] PDC_SERVER[82]: [TIMER] id=4, name=total_graph_exec, avg=0.036353, total=34.899298, count=960
[11:08:03.333351] [WARNING] [pdc_server.c:696] PDC_SERVER[119]: [TIMER] id=0, name=open, avg=0.000353, total=0.338692, count=960
[11:08:03.333415] [WARNING] [pdc_server.c:696] PDC_SERVER[119]: [TIMER] id=1, name=close, avg=0.000234, total=0.224499, count=960
[11:08:03.333421] [WARNING] [pdc_server.c:696] PDC_SERVER[119]: [TIMER] id=3, name=write, avg=0.040635, total=39.009945, count=960
[11:08:03.333425] [WARNING] [pdc_server.c:696] PDC_SERVER[119]: [TIMER] id=4, name=total_graph_exec, avg=0.021828, total=20.954444, count=960
[11:08:03.333423] [WARNING] [pdc_server.c:696] PDC_SERVER[86]: [TIMER] id=0, name=open, avg=0.000311, total=0.298411, count=960
[11:08:03.333489] [WARNING] [pdc_server.c:696] PDC_SERVER[86]: [TIMER] id=1, name=close, avg=0.000240, total=0.230117, count=960
[11:08:03.333495] [WARNING] [pdc_server.c:696] PDC_SERVER[86]: [TIMER] id=3, name=write, avg=0.039925, total=38.328146, count=960
[11:08:03.333499] [WARNING] [pdc_server.c:696] PDC_SERVER[86]: [TIMER] id=4, name=total_graph_exec, avg=0.021607, total=20.742877, count=960
[11:08:03.333392] [WARNING] [pdc_server.c:696] PDC_SERVER[26]: [TIMER] id=0, name=open, avg=0.000345, total=0.331326, count=960
[11:08:03.333464] [WARNING] [pdc_server.c:696] PDC_SERVER[26]: [TIMER] id=1, name=close, avg=0.000249, total=0.238619, count=960
[11:08:03.333470] [WARNING] [pdc_server.c:696] PDC_SERVER[26]: [TIMER] id=3, name=write, avg=0.039980, total=38.381253, count=960
[11:08:03.333474] [WARNING] [pdc_server.c:696] PDC_SERVER[26]: [TIMER] id=4, name=total_graph_exec, avg=0.021167, total=20.319951, count=960
[11:08:03.333080] [WARNING] [pdc_server.c:696] PDC_SERVER[121]: [TIMER] id=0, name=open, avg=0.000440, total=0.422592, count=960
[11:08:03.333138] [WARNING] [pdc_server.c:696] PDC_SERVER[121]: [TIMER] id=1, name=close, avg=0.000265, total=0.254276, count=960
[11:08:03.333144] [WARNING] [pdc_server.c:696] PDC_SERVER[121]: [TIMER] id=3, name=write, avg=0.040230, total=38.620600, count=960
[11:08:03.333149] [WARNING] [pdc_server.c:696] PDC_SERVER[121]: [TIMER] id=4, name=total_graph_exec, avg=0.022353, total=21.459001, count=960
[11:08:03.333417] [WARNING] [pdc_server.c:696] PDC_SERVER[101]: [TIMER] id=0, name=open, avg=0.000367, total=0.352328, count=960
[11:08:03.333496] [WARNING] [pdc_server.c:696] PDC_SERVER[101]: [TIMER] id=1, name=close, avg=0.000263, total=0.252073, count=960
[11:08:03.333502] [WARNING] [pdc_server.c:696] PDC_SERVER[101]: [TIMER] id=3, name=write, avg=0.039785, total=38.193250, count=960
[11:08:03.333507] [WARNING] [pdc_server.c:696] PDC_SERVER[101]: [TIMER] id=4, name=total_graph_exec, avg=0.022130, total=21.245169, count=960
[11:08:03.333400] [WARNING] [pdc_server.c:696] PDC_SERVER[77]: [TIMER] id=0, name=open, avg=0.000357, total=0.342777, count=960
[11:08:03.333471] [WARNING] [pdc_server.c:696] PDC_SERVER[77]: [TIMER] id=1, name=close, avg=0.000242, total=0.232438, count=960
