[19:46:44.589739] [WARNING] [pdc_server.c:1184] PDC_SERVER[0]: Checkpoint start
[19:46:44.660701] [WARNING] [pdc_server.c:1376] PDC_SERVER[0]: Writing checkpoint transformations start
[19:46:44.662211] [WARNING] [pdc_server.c:1558] PDC_SERVER[0]: Writing checkpoint transformations done
[19:46:47.439708] [WARNING] [pdc_server.c:1595] PDC_SERVER[0]: Rank[ALL]: Total checkpoint time = 2.848795
[19:46:47.441788] [WARNING] [pdc_server.c:1602] PDC_SERVER[0]: Checkpointing done
[19:46:47.441880] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=0, name=open, avg=0.000577, total=0.738209, count=1280
[19:46:47.441891] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=1, name=close, avg=0.000330, total=0.422685, count=1280
[19:46:47.441897] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=3, name=write, avg=0.038928, total=49.828069, count=1280
[19:46:47.441901] [WARNING] [pdc_server.c:696] PDC_SERVER[0]: [TIMER] id=4, name=total_graph_exec, avg=0.046712, total=104.633766, count=2240
[19:46:47.441757] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=0, name=open, avg=0.000646, total=0.827371, count=1280
[19:46:47.441807] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=1, name=close, avg=0.000303, total=0.388298, count=1280
[19:46:47.441814] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=3, name=write, avg=0.039289, total=50.290491, count=1280
[19:46:47.441819] [WARNING] [pdc_server.c:696] PDC_SERVER[2]: [TIMER] id=4, name=total_graph_exec, avg=0.048019, total=107.561607, count=2240
[19:46:47.441831] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=0, name=open, avg=0.000501, total=0.641473, count=1280
[19:46:47.441893] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=1, name=close, avg=0.000248, total=0.317581, count=1280
[19:46:47.441899] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=3, name=write, avg=0.038161, total=48.845843, count=1280
[19:46:47.441904] [WARNING] [pdc_server.c:696] PDC_SERVER[1]: [TIMER] id=4, name=total_graph_exec, avg=0.046288, total=103.684688, count=2240
[19:46:47.442434] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=0, name=open, avg=0.000539, total=0.689603, count=1280
[19:46:47.442510] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=1, name=close, avg=0.000263, total=0.336830, count=1280
[19:46:47.442517] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=3, name=write, avg=0.038882, total=49.768663, count=1280
[19:46:47.442522] [WARNING] [pdc_server.c:696] PDC_SERVER[3]: [TIMER] id=4, name=total_graph_exec, avg=0.046803, total=104.838328, count=2240
